TOURNAMENT,TEAM_0_NAME,TEAM_0_HEROES,TEAM_0_SIDE,TEAM_0_WIN,TEAM_1_NAME,TEAM_1_HEROES,TEAM_1_SIDE,TEAM_1_WIN
The International 11,Hokori,"['Shadow Fiend', 'Puck', 'Timbersaw', 'Nyx Assassin', 'Disruptor']",dire,1,BOOM Esports,"['Terrorblade', 'Mars', 'Magnus', 'Snapfire', 'Enchantress']",radiant,0
The International 11,Team Liquid,"['Luna', 'Beastmaster', 'Pangolier', 'Marci', 'Disruptor']",dire,1,BOOM Esports,"['Phantom Assassin', 'Tiny', 'Underlord', 'Snapfire', 'Undying']",radiant,0
The International 11,BOOM Esports,"['Lifestealer', 'Lina', 'Tidehunter', 'Tiny', 'Silencer']",dire,0,Team Liquid,"['Slark', 'Invoker', 'Enigma', 'Nyx Assassin', 'Undying']",radiant,1
The International 11,Gaimin Gladiators,"['Drow Ranger', 'Brewmaster', 'Pangolier', 'Marci', 'Disruptor']",dire,0,Evil Geniuses,"['Terrorblade', 'Broodmother', 'Primal Beast', 'Shadow Shaman', 'Sven']",radiant,1
The International 11,Gaimin Gladiators,"['Drow Ranger', 'Visage', 'Primal Beast', 'Snapfire', 'Undying']",dire,0,Evil Geniuses,"['Sven', 'Ember Spirit', 'Enigma', 'Mirana', 'Shadow Fiend']",radiant,1
The International 11,Gaimin Gladiators,"['Luna', 'Shadow Fiend', 'Visage', 'Earthshaker', 'Enchantress']",dire,0,Royal Never Give Up,"['Morphling', 'Leshrac', 'Dark Seer', 'Snapfire', 'Nyx Assassin']",radiant,1
The International 11,Royal Never Give Up,"['Shadow Fiend', 'Storm Spirit', 'Beastmaster', 'Marci', 'Vengeful Spirit']",dire,1,Gaimin Gladiators,"['Troll Warlord', 'Ember Spirit', 'Enigma', 'Earthshaker', 'Silencer']",radiant,0
The International 11,BetBoom Team,"['Weaver', 'Zeus', 'Pangolier', 'Primal Beast', 'Silencer']",dire,0,Gaimin Gladiators,"['Shadow Fiend', 'Invoker', 'Beastmaster', 'Tusk', 'Chen']",radiant,1
The International 11,Gaimin Gladiators,"['Morphling', 'Brewmaster', 'Primal Beast', 'Undying', 'Crystal Maiden']",dire,1,BetBoom Team,"['Sniper', 'Pangolier', 'Beastmaster', 'Clockwerk', 'Silencer']",radiant,0
The International 11,Soniqs,"['Lifestealer', 'Leshrac', 'Doom', 'Clockwerk', 'Crystal Maiden']",dire,0,Gaimin Gladiators,"['Faceless Void', 'Silencer', 'Brewmaster', 'Enchantress', 'Pangolier']",radiant,1
The International 11,Gaimin Gladiators,"['Morphling', 'Storm Spirit', 'Brewmaster', 'Rubick', 'Undying']",dire,1,Soniqs,"['Sniper', 'Ember Spirit', 'Enigma', 'Snapfire', 'Marci']",radiant,0
The International 11,Gaimin Gladiators,"['Templar Assassin', 'Batrider', 'Beastmaster', 'Rubick', 'Enchantress']",dire,0,Hokori,"['Pudge', 'Shadow Fiend', 'Enigma', 'Tiny', 'Crystal Maiden']",radiant,1
The International 11,Gaimin Gladiators,"['Morphling', 'Pangolier', 'Brewmaster', 'Enchantress', 'Silencer']",dire,1,Hokori,"['Sven', 'Zeus', 'Undying', 'Lion', 'Weaver']",radiant,0
The International 11,Gaimin Gladiators,"['Ursa', 'Shadow Fiend', 'Underlord', 'Disruptor', 'Enchantress']",dire,1,Team Liquid,"['Lifestealer', 'Leshrac', 'Venomancer', 'Tiny', 'Lich']",radiant,0
The International 11,Team Liquid,"['Sniper', 'Leshrac', 'Centaur Warrunner', 'Clockwerk', 'Witch Doctor']",dire,1,Gaimin Gladiators,"['Faceless Void', 'Pangolier', 'Primal Beast', 'Snapfire', 'Enchantress']",radiant,0
The International 11,Royal Never Give Up,"['Morphling', 'Tiny', 'Dawnbreaker', 'Nyx Assassin', 'Lich']",dire,0,Evil Geniuses,"['Shadow Fiend', 'Storm Spirit', 'Broodmother', 'Clockwerk', 'Silencer']",radiant,1
The International 11,Evil Geniuses,"['Sven', 'Puck', 'Lycan', 'Vengeful Spirit', 'Shadow Fiend']",dire,1,Royal Never Give Up,"['Drow Ranger', 'Batrider', 'Brewmaster', 'Marci', 'Silencer']",radiant,0
The International 11,BetBoom Team,"['Visage', 'Pangolier', 'Slardar', 'Clockwerk', 'Vengeful Spirit']",dire,0,Evil Geniuses,"['Sven', 'Templar Assassin', 'Pudge', 'Snapfire', 'Primal Beast']",radiant,1
The International 11,Evil Geniuses,"['Naga Siren', 'Puck', 'Razor', 'Marci', 'Crystal Maiden']",dire,1,BetBoom Team,"[""Nature's Prophet"", 'Queen of Pain', 'Primal Beast', 'Spirit Breaker', 'Silencer']",radiant,0
The International 11,Soniqs,"['Juggernaut', 'Leshrac', 'Magnus', 'Marci', 'Bane']",dire,0,Evil Geniuses,"['Drow Ranger', 'Beastmaster', 'Primal Beast', 'Mirana', 'Undying']",radiant,1
The International 11,Evil Geniuses,"['Terrorblade', 'Invoker', 'Broodmother', 'Rubick', 'Undying']",dire,1,Soniqs,"['Slark', 'Lina', 'Mars', 'Tusk', 'Disruptor']",radiant,0
The International 11,Evil Geniuses,"['Shadow Fiend', 'Storm Spirit', 'Beastmaster', 'Skywrath Mage', 'Ogre Magi']",dire,1,Hokori,"['Sven', 'Tiny', 'Pangolier', 'Ancient Apparition', 'Morphling']",radiant,0
The International 11,Hokori,"['Morphling', 'Void Spirit', 'Axe', 'Snapfire', 'Undying']",dire,0,Evil Geniuses,"['Shadow Fiend', 'Invoker', 'Broodmother', 'Shadow Shaman', 'Ogre Magi']",radiant,1
The International 11,Evil Geniuses,"['Sven', 'Queen of Pain', 'Broodmother', 'Hoodwink', 'Undying']",dire,0,Team Liquid,"['Pudge', 'Shadow Fiend', 'Death Prophet', 'Spirit Breaker', 'Snapfire']",radiant,1
The International 11,Team Liquid,"['Lone Druid', 'Leshrac', 'Enigma', 'Tiny', 'Crystal Maiden']",dire,1,Evil Geniuses,"['Faceless Void', 'Lina', 'Lycan', 'Mirana', 'Enchantress']",radiant,0
The International 11,BetBoom Team,"['Sniper', 'Batrider', 'Beastmaster', 'Skywrath Mage', 'Marci']",dire,0,Royal Never Give Up,"['Naga Siren', 'Puck', 'Tidehunter', 'Earthshaker', 'Lich']",radiant,1
The International 11,Royal Never Give Up,"['Anti-Mage', 'Leshrac', 'Centaur Warrunner', 'Shadow Demon', 'Marci']",dire,1,BetBoom Team,"['Lone Druid', 'Zeus', 'Primal Beast', 'Riki', 'Lich']",radiant,0
The International 11,Royal Never Give Up,"['Drow Ranger', 'Batrider', 'Death Prophet', 'Marci', 'Disruptor']",dire,1,Soniqs,"['Slark', 'Leshrac', 'Centaur Warrunner', 'Spirit Breaker', 'Lich']",radiant,0
The International 11,Royal Never Give Up,"['Lone Druid', 'Leshrac', 'Visage', 'Tiny', 'Lich']",dire,1,Soniqs,"['Doom', 'Void Spirit', 'Undying', 'Rubick', 'Shadow Fiend']",radiant,0
The International 11,Hokori,"['Shadow Fiend', 'Mars', 'Pangolier', 'Clockwerk', 'Silencer']",dire,1,Royal Never Give Up,"['Bloodseeker', 'Ember Spirit', 'Enigma', 'Tiny', 'Disruptor']",radiant,0
The International 11,Hokori,"['Medusa', 'Tidehunter', 'Pangolier', 'Hoodwink', 'Undying']",dire,1,Royal Never Give Up,"['Anti-Mage', 'Void Spirit', 'Broodmother', 'Snapfire', 'Bane']",radiant,0
The International 11,Team Liquid,"['Slark', 'Shadow Fiend', 'Magnus', 'Tusk', 'Enigma']",dire,1,Royal Never Give Up,"['Ursa', 'Queen of Pain', 'Centaur Warrunner', 'Rubick', 'Chen']",radiant,0
The International 11,Team Liquid,"['Visage', 'Queen of Pain', 'Legion Commander', 'Clockwerk', 'Disruptor']",dire,0,Royal Never Give Up,"['Ursa', 'Shadow Fiend', 'Broodmother', 'Tiny', 'Snapfire']",radiant,1
The International 11,Soniqs,"['Monkey King', 'Shadow Fiend', 'Slardar', 'Tiny', 'Vengeful Spirit']",dire,0,BetBoom Team,"['Sniper', 'Zeus', 'Dawnbreaker', 'Nyx Assassin', 'Silencer']",radiant,1
The International 11,BetBoom Team,"[""Nature's Prophet"", 'Zeus', 'Pangolier', 'Shadow Shaman', 'Marci']",dire,0,Soniqs,"['Spectre', 'Puck', 'Primal Beast', 'Grimstroke', 'Lich']",radiant,1
The International 11,BetBoom Team,"[""Nature's Prophet"", 'Beastmaster', 'Pangolier', 'Shadow Shaman', 'Undying']",dire,1,Hokori,"['Kunkka', 'Death Prophet', 'Pudge', 'Snapfire', 'Marci']",radiant,0
The International 11,BetBoom Team,"['Ursa', 'Queen of Pain', 'Primal Beast', 'Enchantress', 'Silencer']",dire,0,Hokori,"['Shadow Fiend', 'Huskar', 'Pangolier', 'Mirana', 'Abaddon']",radiant,1
The International 11,BetBoom Team,"['Faceless Void', 'Zeus', 'Phoenix', 'Marci', 'Enchantress']",dire,0,Team Liquid,"['Pudge', 'Storm Spirit', 'Beastmaster', 'Primal Beast', 'Undying']",radiant,1
The International 11,Team Liquid,"['Naga Siren', 'Leshrac', 'Tidehunter', 'Snapfire', 'Primal Beast']",dire,1,BetBoom Team,"['Shadow Fiend', 'Batrider', 'Beastmaster', 'Clockwerk', 'Dazzle']",radiant,0
The International 11,Hokori,"['Weaver', 'Puck', 'Undying', 'Tiny', 'Shadow Fiend']",dire,1,Soniqs,"['Sven', 'Lina', 'Venomancer', 'Clockwerk', 'Primal Beast']",radiant,0
The International 11,Soniqs,"['Terrorblade', 'Beastmaster', 'Primal Beast', 'Skywrath Mage', 'Bane']",dire,0,Hokori,"['Morphling', 'Puck', 'Venomancer', 'Clockwerk', 'Marci']",radiant,1
The International 11,Team Liquid,"['Morphling', 'Lycan', 'Centaur Warrunner', 'Clockwerk', 'Witch Doctor']",dire,0,Soniqs,"['Monkey King', 'Leshrac', 'Magnus', 'Tiny', 'Snapfire']",radiant,1
The International 11,Soniqs,"['Morphling', 'Pangolier', 'Broodmother', 'Spirit Breaker', 'Snapfire']",dire,0,Team Liquid,"['Naga Siren', 'Puck', 'Primal Beast', 'Nyx Assassin', 'Silencer']",radiant,1
The International 11,Hokori,"['Bloodseeker', 'Puck', 'Brewmaster', 'Hoodwink', 'Undying']",dire,0,Team Liquid,"['Lone Druid', 'Broodmother', 'Pangolier', 'Nyx Assassin', 'Snapfire']",radiant,1
The International 11,Hokori,"['Morphling', 'Broodmother', 'Pangolier', 'Tiny', 'Disruptor']",dire,0,Team Liquid,"['Drow Ranger', 'Tusk', 'Enigma', 'Primal Beast', 'Crystal Maiden']",radiant,1
The International 11,TSM,"['Shadow Fiend', 'Pangolier', 'Slardar', 'Mirana', 'Clockwerk']",dire,0,Thunder Awaken,"['Pudge', 'Tiny', 'Snapfire', 'Nyx Assassin', 'Disruptor']",radiant,1
The International 11,TSM,"['Shadow Fiend', 'Silencer', 'Venomancer', 'Earthshaker', 'Marci']",dire,1,Thunder Awaken,"['Monkey King', 'Kunkka', 'Dawnbreaker', 'Nyx Assassin', 'Lich']",radiant,0
The International 11,TSM,"['Slark', 'Leshrac', 'Enigma', 'Snapfire', 'Omniknight']",dire,0,beastcoast,"['Luna', 'Puck', 'Brewmaster', 'Nyx Assassin', 'Clockwerk']",radiant,1
The International 11,beastcoast,"['Faceless Void', 'Ember Spirit', 'Leshrac', 'Clockwerk', 'Crystal Maiden']",dire,1,TSM,"['Luna', 'Broodmother', 'Primal Beast', 'Shadow Demon', 'Hoodwink']",radiant,0
The International 11,TSM,"['Naga Siren', 'Shadow Fiend', 'Dawnbreaker', 'Crystal Maiden', 'Undying']",dire,1,Team Spirit,"['Drow Ranger', 'Lina', 'Slardar', 'Marci', 'Bane']",radiant,0
The International 11,Team Spirit,"['Morphling', 'Mars', 'Pangolier', 'Snapfire', 'Enchantress']",dire,1,TSM,"['Lone Druid', 'Shadow Fiend', 'Dawnbreaker', 'Crystal Maiden', 'Undying']",radiant,0
The International 11,Team Aster,"['Sven', 'Puck', 'Visage', 'Marci', 'Drow Ranger']",dire,1,TSM,"['Shadow Fiend', 'Tiny', 'Mars', 'Dark Willow', 'Clockwerk']",radiant,0
The International 11,TSM,"['Pudge', 'Shadow Fiend', 'Beastmaster', 'Rubick', 'Ancient Apparition']",dire,0,Team Aster,"['Sven', 'Leshrac', 'Brewmaster', 'Snapfire', 'Drow Ranger']",radiant,1
The International 11,TSM,"['Pudge', 'Shadow Fiend', 'Marci', 'Hoodwink', 'Warlock']",dire,1,Tundra Esports,"['Luna', 'Visage', 'Earthshaker', 'Mirana', 'Winter Wyvern']",radiant,0
The International 11,TSM,"['Morphling', 'Brewmaster', 'Marci', 'Hoodwink', 'Warlock']",dire,0,Tundra Esports,"['Chaos Knight', 'Outworld Devourer', 'Visage', 'Tiny', 'Crystal Maiden']",radiant,1
The International 11,TSM,"['Shadow Fiend', 'Leshrac', 'Dark Seer', 'Nyx Assassin', 'Crystal Maiden']",dire,0,Fnatic,"['Monkey King', 'Templar Assassin', 'Undying', 'Disruptor', 'Sniper']",radiant,1
The International 11,TSM,"['Drow Ranger', 'Ember Spirit', 'Dawnbreaker', 'Crystal Maiden', 'Undying']",dire,0,Fnatic,"['Lifestealer', 'Invoker', 'Enchantress', 'Disruptor', 'Monkey King']",radiant,1
The International 11,TSM,"['Sniper', 'Puck', 'Dawnbreaker', 'Rubick', 'Undying']",dire,0,Talon Esports,"['Doom', 'Shadow Fiend', 'Pangolier', 'Earthshaker', 'Disruptor']",radiant,1
The International 11,Talon Esports,"['Lina', 'Puck', 'Tidehunter', 'Primal Beast', 'Enchantress']",dire,0,TSM,"['Morphling', 'Death Prophet', 'Marci', 'Tiny', 'Chen']",radiant,1
The International 11,Entity Gaming,"['Naga Siren', 'Tiny', 'Pangolier', 'Silencer', 'Drow Ranger']",dire,0,TSM,"['Monkey King', 'Leshrac', 'Axe', 'Hoodwink', 'Omniknight']",radiant,1
The International 11,Entity Gaming,"['Lone Druid', 'Arc Warden', 'Brewmaster', 'Tiny', 'Jakiro']",dire,1,TSM,"['Naga Siren', 'Pangolier', 'Legion Commander', 'Dazzle', 'Enigma']",radiant,0
The International 11,Team Secret,"['Sniper', 'Shadow Fiend', 'Dawnbreaker', 'Nyx Assassin', 'Crystal Maiden']",dire,1,TSM,"['Drow Ranger', 'Queen of Pain', 'Visage', 'Earthshaker', 'Chen']",radiant,0
The International 11,TSM,"['Morphling', 'Monkey King', 'Broodmother', 'Chen', 'Sniper']",dire,0,Team Secret,"['Dawnbreaker', 'Shadow Fiend', 'Mirana', 'Nyx Assassin', 'Crystal Maiden']",radiant,1
The International 11,beastcoast,"['Doom', 'Shadow Fiend', 'Snapfire', 'Earth Spirit', 'Undying']",dire,1,Thunder Awaken,"['Faceless Void', 'Zeus', 'Venomancer', 'Marci', 'Crystal Maiden']",radiant,0
The International 11,beastcoast,"['Drow Ranger', 'Shadow Fiend', 'Enigma', 'Marci', 'Ogre Magi']",dire,0,Thunder Awaken,"['Gyrocopter', 'Zeus', 'Dawnbreaker', 'Lion', 'Undying']",radiant,1
The International 11,Team Spirit,"['Drow Ranger', 'Night Stalker', 'Pangolier', 'Marci', 'Undying']",dire,0,Thunder Awaken,"['Faceless Void', 'Storm Spirit', 'Enigma', 'Nyx Assassin', 'Bane']",radiant,1
The International 11,Team Spirit,"['Troll Warlord', 'Pangolier', 'Enigma', 'Tiny', 'Jakiro']",dire,1,Thunder Awaken,"['Kunkka', 'Batrider', 'Tidehunter', 'Marci', 'Crystal Maiden']",radiant,0
The International 11,Team Aster,"['Juggernaut', 'Shadow Fiend', 'Visage', 'Clockwerk', 'Marci']",dire,0,Thunder Awaken,"['Templar Assassin', 'Dark Seer', 'Nyx Assassin', 'Tiny', 'Crystal Maiden']",radiant,1
The International 11,Team Aster,"['Ursa', 'Visage', 'Omniknight', 'Snapfire', 'Tiny']",dire,1,Thunder Awaken,"['Ember Spirit', 'Silencer', 'Brewmaster', 'Nyx Assassin', 'Pudge']",radiant,0
The International 11,Tundra Esports,"['Chaos Knight', 'Invoker', 'Beastmaster', 'Snapfire', 'Undying']",dire,0,Thunder Awaken,"['Alchemist', 'Gyrocopter', 'Dawnbreaker', 'Marci', 'Crystal Maiden']",radiant,1
The International 11,Tundra Esports,"['Slark', 'Visage', 'Primal Beast', 'Undying', 'Crystal Maiden']",dire,1,Thunder Awaken,"['Luna', 'Zeus', 'Dawnbreaker', 'Marci', 'Dazzle']",radiant,0
The International 11,Thunder Awaken,"['Gyrocopter', 'Tiny', 'Dawnbreaker', 'Nyx Assassin', 'Crystal Maiden']",dire,1,Fnatic,"['Monkey King', 'Leshrac', 'Enigma', 'Marci', 'Zeus']",radiant,0
The International 11,Thunder Awaken,"['Pudge', 'Zeus', 'Dawnbreaker', 'Oracle', 'Crystal Maiden']",dire,1,Fnatic,"['Razor', 'Templar Assassin', 'Centaur Warrunner', 'Marci', 'Batrider']",radiant,0
The International 11,Talon Esports,"['Ursa', 'Void Spirit', 'Visage', 'Rubick', 'Clockwerk']",dire,0,Thunder Awaken,"['Pudge', 'Tiny', 'Enigma', 'Nyx Assassin', 'Undying']",radiant,1
The International 11,Talon Esports,"['Shadow Fiend', 'Death Prophet', 'Pangolier', 'Earthshaker', 'Undying']",dire,0,Thunder Awaken,"['Pudge', 'Ember Spirit', 'Dawnbreaker', 'Marci', 'Dazzle']",radiant,1
The International 11,Entity Gaming,"['Arc Warden', 'Leshrac', 'Broodmother', 'Marci', 'Jakiro']",dire,1,Thunder Awaken,"['Sven', 'Mars', 'Legion Commander', 'Ancient Apparition', 'Crystal Maiden']",radiant,0
The International 11,Entity Gaming,"['Naga Siren', 'Arc Warden', 'Leshrac', 'Nyx Assassin', 'Ancient Apparition']",dire,1,Thunder Awaken,"['Luna', 'Zeus', 'Undying', 'Hoodwink', 'Marci']",radiant,0
The International 11,Team Secret,"['Ursa', 'Shadow Fiend', 'Marci', 'Mirana', 'Chen']",dire,1,Thunder Awaken,"['Phantom Assassin', 'Leshrac', 'Omniknight', 'Hoodwink', 'Lich']",radiant,0
The International 11,Team Secret,"['Doom', 'Ember Spirit', 'Earthshaker', 'Chen', 'Shadow Fiend']",dire,0,Thunder Awaken,"['Pudge', 'Zeus', 'Dawnbreaker', 'Hoodwink', 'Crystal Maiden']",radiant,1
The International 11,Team Spirit,"['Monkey King', 'Tiny', 'Doom', 'Rubick', 'Enchantress']",dire,0,beastcoast,"['Wraith King', 'Shadow Fiend', 'Enigma', 'Marci', 'Nyx Assassin']",radiant,1
The International 11,Team Spirit,"['Morphling', 'Storm Spirit', 'Doom', 'Phoenix', 'Clockwerk']",dire,1,beastcoast,"['Wraith King', 'Puck', 'Primal Beast', 'Tusk', 'Silencer']",radiant,0
The International 11,Team Aster,"['Luna', 'Puck', 'Visage', 'Marci', 'Bane']",dire,1,beastcoast,"['Sven', 'Pangolier', 'Magnus', 'Tiny', 'Lich']",radiant,0
The International 11,Team Aster,"['Lifestealer', 'Leshrac', 'Broodmother', 'Marci', 'Lich']",dire,1,beastcoast,"['Monkey King', 'Beastmaster', 'Pudge', 'Tiny', 'Snapfire']",radiant,0
The International 11,Tundra Esports,"['Terrorblade', 'Ember Spirit', 'Enigma', 'Earthshaker', 'Oracle']",dire,0,beastcoast,"['Sven', 'Tiny', 'Primal Beast', 'Snapfire', 'Silencer']",radiant,1
The International 11,Tundra Esports,"['Naga Siren', 'Tiny', 'Doom', 'Hoodwink', 'Crystal Maiden']",dire,1,beastcoast,"['Chaos Knight', 'Underlord', 'Dawnbreaker', 'Snapfire', 'Marci']",radiant,0
The International 11,Fnatic,"['Lifestealer', 'Pangolier', 'Enchantress', 'Hoodwink', 'Marci']",dire,1,beastcoast,"['Juggernaut', 'Lina', 'Batrider', 'Earthshaker', 'Undying']",radiant,0
The International 11,Fnatic,"['Templar Assassin', 'Puck', 'Tidehunter', 'Tiny', 'Lich']",dire,1,beastcoast,"['Medusa', 'Kunkka', 'Pangolier', 'Shadow Shaman', 'Marci']",radiant,0
The International 11,Talon Esports,"['Morphling', 'Queen of Pain', 'Dawnbreaker', 'Marci', 'Undying']",dire,0,beastcoast,"['Naga Siren', 'Shadow Fiend', 'Visage', 'Clockwerk', 'Crystal Maiden']",radiant,1
The International 11,beastcoast,"['Naga Siren', 'Shadow Fiend', 'Venomancer', 'Marci', 'Vengeful Spirit']",dire,1,Talon Esports,"['Monkey King', 'Batrider', 'Enigma', 'Tusk', 'Crystal Maiden']",radiant,0
The International 11,Entity Gaming,"['Sven', 'Leshrac', 'Pudge', 'Brewmaster', 'Silencer']",dire,1,beastcoast,"['Terrorblade', 'Tiny', 'Venomancer', 'Enigma', 'Abaddon']",radiant,0
The International 11,Entity Gaming,"['Naga Siren', 'Shadow Fiend', 'Slardar', 'Marci', 'Disruptor']",dire,0,beastcoast,"['Sven', 'Pangolier', 'Primal Beast', 'Nyx Assassin', 'Silencer']",radiant,1
The International 11,beastcoast,"['Bloodseeker', 'Puck', 'Centaur Warrunner', 'Snapfire', 'Enchantress']",dire,0,Team Secret,"['Morphling', 'Leshrac', 'Slardar', 'Earth Spirit', 'Chen']",radiant,1
The International 11,Team Secret,"['Sniper', 'Leshrac', 'Slardar', 'Earth Spirit', 'Silencer']",dire,1,beastcoast,"['Slark', 'Shadow Fiend', 'Lycan', 'Spirit Breaker', 'Enigma']",radiant,0
The International 11,Team Aster,"['Razor', 'Leshrac', 'Broodmother', 'Shadow Demon', 'Marci']",dire,1,Team Spirit,"['Troll Warlord', 'Puck', 'Primal Beast', 'Tiny', 'Crystal Maiden']",radiant,0
The International 11,Team Aster,"['Shadow Fiend', 'Tiny', 'Broodmother', 'Marci', 'Oracle']",dire,0,Team Spirit,"['Troll Warlord', 'Zeus', 'Primal Beast', 'Tusk', 'Crystal Maiden']",radiant,1
The International 11,Team Spirit,"['Axe', 'Invoker', 'Marci', 'Shadow Demon', 'Shadow Fiend']",dire,0,Tundra Esports,"['Lifestealer', 'Tusk', 'Doom', 'Mirana', 'Crystal Maiden']",radiant,1
The International 11,Tundra Esports,"['Naga Siren', 'Tidehunter', 'Marci', 'Tusk', 'Crystal Maiden']",dire,1,Team Spirit,"['Faceless Void', 'Tiny', 'Mars', 'Jakiro', 'Undying']",radiant,0
The International 11,Team Spirit,"['Lone Druid', 'Leshrac', 'Centaur Warrunner', 'Snapfire', 'Clockwerk']",dire,1,Fnatic,"['Monkey King', 'Morphling', 'Death Prophet', 'Hoodwink', 'Undying']",radiant,0
The International 11,Team Spirit,"['Shadow Fiend', 'Void Spirit', 'Mars', 'Rubick', 'Clockwerk']",dire,0,Fnatic,"['Terrorblade', 'Puck', 'Death Prophet', 'Tiny', 'Undying']",radiant,1
The International 11,Talon Esports,"['Templar Assassin', 'Visage', 'Doom', 'Tiny', 'Undying']",dire,1,Team Spirit,"['Terrorblade', 'Invoker', 'Beastmaster', 'Nyx Assassin', 'Witch Doctor']",radiant,0
The International 11,Team Spirit,"['Gyrocopter', 'Shadow Fiend', 'Mars', 'Vengeful Spirit', 'Undying']",dire,1,Talon Esports,"['Drow Ranger', 'Queen of Pain', 'Enigma', 'Tusk', 'Marci']",radiant,0
The International 11,Team Spirit,"['Lifestealer', 'Beastmaster', 'Pangolier', 'Nyx Assassin', 'Enchantress']",dire,1,Entity Gaming,"['Sven', 'Invoker', 'Pudge', 'Silencer', 'Visage']",radiant,0
The International 11,Team Spirit,"['Faceless Void', 'Invoker', 'Mars', 'Marci', 'Enchantress']",dire,1,Entity Gaming,"['Naga Siren', 'Leshrac', 'Broodmother', 'Jakiro', 'Sven']",radiant,0
The International 11,Team Spirit,"['Troll Warlord', 'Leshrac', 'Doom', 'Clockwerk', 'Nyx Assassin']",dire,1,Team Secret,"['Ursa', 'Tiny', 'Primal Beast', 'Shadow Shaman', 'Chen']",radiant,0
The International 11,Team Spirit,"['Spectre', 'Silencer', 'Beastmaster', 'Clockwerk', 'Pangolier']",dire,0,Team Secret,"['Bloodseeker', 'Kunkka', 'Enigma', 'Nyx Assassin', 'Bane']",radiant,1
The International 11,Team Aster,"['Luna', 'Mars', 'Primal Beast', 'Marci', 'Jakiro']",dire,1,Tundra Esports,"['Lifestealer', 'Tusk', 'Broodmother', 'Earthshaker', 'Crystal Maiden']",radiant,0
The International 11,Tundra Esports,"['Ursa', 'Void Spirit', 'Enigma', 'Earthshaker', 'Shadow Demon']",dire,1,Team Aster,"['Lone Druid', 'Puck', 'Brewmaster', 'Primal Beast', 'Winter Wyvern']",radiant,0
The International 11,Team Aster,"['Naga Siren', 'Death Prophet', 'Brewmaster', 'Primal Beast', 'Silencer']",dire,0,Fnatic,"['Slark', 'Tiny', 'Enigma', 'Hoodwink', 'Undying']",radiant,1
The International 11,Team Aster,"['Drow Ranger', 'Leshrac', 'Magnus', 'Primal Beast', 'Silencer']",dire,0,Fnatic,"['Sniper', 'Tiny', 'Enigma', 'Terrorblade', 'Undying']",radiant,1
The International 11,Team Aster,"['Morphling', 'Leshrac', 'Brewmaster', 'Shadow Demon', 'Clockwerk']",dire,1,Talon Esports,"['Faceless Void', 'Invoker', 'Primal Beast', 'Rubick', 'Snapfire']",radiant,0
The International 11,Team Aster,"['Drow Ranger', 'Broodmother', 'Primal Beast', 'Snapfire', 'Jakiro']",dire,1,Talon Esports,"['Ember Spirit', 'Storm Spirit', 'Visage', 'Clockwerk', 'Disruptor']",radiant,0
The International 11,Entity Gaming,"['Morphling', 'Batrider', 'Broodmother', 'Nyx Assassin', 'Silencer']",dire,1,Team Aster,"['Lone Druid', 'Shadow Fiend', 'Mars', 'Snapfire', 'Omniknight']",radiant,0
The International 11,Team Aster,"['Pudge', 'Shadow Fiend', 'Magnus', 'Clockwerk', 'Omniknight']",dire,1,Entity Gaming,"['Medusa', 'Tinker', 'Broodmother', 'Sven', 'Silencer']",radiant,0
The International 11,Team Aster,"[""Nature's Prophet"", 'Ember Spirit', 'Enigma', 'Snapfire', 'Tiny']",dire,0,Team Secret,"['Monkey King', 'Leshrac', 'Magnus', 'Tusk', 'Silencer']",radiant,1
The International 11,Team Aster,"['Morphling', 'Puck', 'Visage', 'Tiny', 'Crystal Maiden']",dire,0,Team Secret,"['Bloodseeker', 'Kunkka', 'Leshrac', 'Tusk', 'Disruptor']",radiant,1
The International 11,Tundra Esports,"['Lifestealer', 'Broodmother', 'Primal Beast', 'Hoodwink', 'Crystal Maiden']",dire,1,Fnatic,"['Pudge', 'Huskar', 'Death Prophet', 'Clockwerk', 'Lich']",radiant,0
The International 11,Tundra Esports,"['Naga Siren', 'Tidehunter', 'Primal Beast', 'Clockwerk', 'Silencer']",dire,1,Fnatic,"['Lone Druid', 'Pangolier', 'Marci', 'Hoodwink', 'Crystal Maiden']",radiant,0
The International 11,Tundra Esports,"['Naga Siren', 'Kunkka', 'Doom', 'Hoodwink', 'Silencer']",dire,1,Talon Esports,"['Lone Druid', 'Dark Seer', 'Pangolier', 'Clockwerk', 'Grimstroke']",radiant,0
The International 11,Talon Esports,"['Morphling', 'Ember Spirit', 'Brewmaster', 'Marci', 'Silencer']",dire,0,Tundra Esports,"['Chaos Knight', 'Visage', 'Pangolier', 'Clockwerk', 'Crystal Maiden']",radiant,1
The International 11,Tundra Esports,"['Wraith King', 'Pangolier', 'Doom', 'Hoodwink', 'Lich']",dire,1,Entity Gaming,"['Lone Druid', 'Invoker', 'Brewmaster', 'Marci', 'Disruptor']",radiant,0
The International 11,Entity Gaming,"['Morphling', 'Batrider', 'Brewmaster', 'Hoodwink', 'Undying']",dire,0,Tundra Esports,"['Slark', 'Outworld Devourer', 'Visage', 'Nyx Assassin', 'Luna']",radiant,1
The International 11,Tundra Esports,"['Naga Siren', 'Tusk', 'Beastmaster', 'Crystal Maiden', 'Undying']",dire,1,Team Secret,"['Morphling', 'Timbersaw', 'Pangolier', 'Clockwerk', 'Enigma']",radiant,0
